gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,1,0,3,2,0,0,0,121,1,0,1,1,0,0,1,0,1,1,0,0,4,4,4,4,4,3,4,4,3,3,4,4,2,3,4,3,3,3,3,3,3,1,1,4,3,4,4,1,3,2,3,1
0,1,1,2,2,1,4,2,7,1,1,0,0,0,0,0,1,1,0,0,0,3,4,3,4,4,4,3,3,3,2,1,4,1,4,4,4,4,4,3,3,4,4,4,4,4,4,2,3,1,3,2,0
1,1,1,0,2,0,0,0,69,1,1,1,1,0,0,2,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,4,3,3,4,0,2,1,1,3,1,3,2,2,4,1
0,0,1,2,2,1,2,2,192,1,0,1,0,0,1,1,1,0,0,0,0,3,4,4,3,4,3,4,3,2,3,1,4,4,3,3,3,3,1,1,3,3,3,2,3,3,4,4,2,2,3,3,1
1,1,1,2,0,0,1,1,23,0,1,1,0,1,0,0,0,0,0,0,1,3,4,4,4,3,2,3,4,4,4,4,4,4,3,4,3,1,3,0,4,3,1,1,3,4,4,2,0,3,3,4,0
0,1,0,2,2,1,1,1,130,0,1,1,1,0,0,1,0,1,1,1,0,4,4,4,4,4,4,4,4,4,4,3,1,1,1,4,4,4,3,4,4,4,0,4,4,4,4,2,1,3,2,4,0
1,1,0,3,2,0,1,0,142,2,1,0,0,0,0,3,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,3,3,1,2,4,4,1,1,2,2,4,4,1,3,4,4,0
0,1,0,1,2,0,1,1,180,1,0,0,1,0,0,0,0,1,0,0,0,4,4,4,4,4,3,3,3,3,3,3,2,2,2,4,3,3,3,3,4,4,2,3,3,3,4,2,3,2,3,3,1
0,1,0,0,0,1,4,4,169,0,0,1,0,0,1,0,1,0,1,1,0,3,4,4,3,3,2,2,2,2,2,2,1,1,1,4,4,4,1,0,3,2,2,4,4,4,4,1,1,4,2,2,0
1,1,1,0,2,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,4,3,4,4,4,2,2,2,3,1,3,3,1,2,1,3,4,3,4,4,2,2,2,0,1,3,3,1
1,0,0,2,1,0,3,4,46,0,0,0,0,0,0,0,1,0,1,0,0,4,4,4,4,4,4,4,4,3,4,3,4,1,4,4,3,3,3,2,3,1,0,4,3,2,3,3,0,3,3,3,1
1,0,2,2,0,0,0,4,41,0,0,1,0,0,0,0,0,1,1,0,0,3,4,4,4,3,3,4,4,2,2,2,1,3,1,3,3,3,3,0,0,4,1,3,2,3,4,0,0,4,3,2,1
0,0,0,2,2,1,4,4,61,1,0,1,0,0,0,1,0,1,1,1,0,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,1,2,4,4,2,3,2,3,2,4,1,3,3,4,1
0,1,1,2,2,1,1,1,150,1,0,1,0,0,1,0,1,1,1,0,1,4,4,4,4,3,4,4,4,4,4,4,2,4,2,4,4,4,3,0,2,4,2,4,4,4,4,2,4,3,2,4,1
1,0,1,2,2,1,0,2,17,0,0,0,0,0,0,1,1,2,0,0,0,3,4,2,4,2,3,4,4,3,3,2,1,2,2,4,4,4,3,2,1,3,2,3,4,4,4,3,3,4,2,4,0
0,0,0,4,0,0,1,3,73,0,0,1,0,0,1,1,1,1,1,0,0,4,4,4,4,3,3,4,4,4,4,4,2,2,2,4,4,4,4,0,3,4,3,4,4,4,4,3,3,4,3,4,1
0,1,0,2,3,0,0,1,113,0,1,1,0,0,1,0,1,1,1,1,0,4,4,4,4,4,3,4,4,4,4,3,3,1,4,4,4,4,4,1,4,4,2,4,4,4,4,3,4,2,2,3,0
0,1,0,3,2,0,0,0,155,0,1,1,1,0,0,1,1,1,0,0,0,3,4,3,4,2,2,4,4,2,3,3,3,0,4,4,4,4,1,0,4,4,0,4,4,4,4,2,2,4,3,3,0
0,0,3,2,2,1,4,4,183,1,1,1,1,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,0,1,4,1
0,1,1,2,3,0,1,2,134,0,1,1,1,0,1,1,1,0,0,0,0,3,4,4,4,4,2,2,3,3,3,1,1,1,2,4,4,3,4,2,3,4,2,3,3,2,4,2,1,4,2,1,0
1,1,1,0,2,0,0,0,4,1,0,1,1,0,0,3,0,0,0,0,0,2,4,3,3,4,4,4,4,4,4,4,3,1,4,2,4,4,3,1,3,4,2,4,4,2,4,3,0,4,3,4,1
1,1,2,0,0,1,0,0,142,0,3,0,0,0,0,2,0,0,0,0,0,4,3,4,4,4,3,3,3,3,3,3,4,2,4,4,4,4,2,3,4,2,2,3,3,1,2,4,2,2,2,3,0
1,1,1,0,2,0,3,0,142,1,0,0,1,0,0,1,1,1,0,0,0,3,4,3,4,4,3,3,3,3,3,2,4,3,4,3,4,3,4,3,4,4,3,4,4,4,4,2,1,2,3,3,1
1,1,1,2,2,1,3,2,142,1,1,0,1,1,0,2,0,0,0,0,0,4,3,4,4,4,2,3,3,3,2,1,3,4,3,3,3,3,1,0,3,3,1,1,1,2,4,2,0,3,3,1,0
1,0,0,0,0,1,2,2,19,1,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,4,2,3,4,2,2,3,4,1
1,1,0,2,4,0,2,3,80,1,1,1,1,0,0,1,1,0,0,0,1,3,4,4,4,3,3,4,4,4,3,3,2,1,4,3,3,4,4,1,1,3,2,3,4,3,4,1,3,4,3,2,0
0,2,2,2,2,1,1,4,13,1,0,0,0,0,0,1,1,1,1,0,0,4,4,4,4,4,2,3,4,2,4,2,2,1,4,4,3,4,2,0,2,4,2,4,4,4,4,2,4,4,1,2,0
0,1,1,0,4,0,0,1,71,1,0,1,1,0,0,0,1,1,0,1,0,2,4,3,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,0,2,4,3,4,4,4,4,4,1,3,1,3,0
1,1,0,2,4,0,1,3,36,0,0,2,1,0,0,1,0,1,1,0,0,4,2,3,4,4,3,3,4,4,4,3,4,4,4,4,2,2,3,1,2,2,2,2,4,1,2,2,1,1,3,4,1
0,1,0,4,2,0,3,3,160,0,0,1,1,0,0,1,1,1,0,0,1,4,4,4,4,4,3,3,3,4,3,4,4,2,4,4,4,4,4,2,2,2,4,4,4,4,4,3,3,3,4,4,1
0,0,1,3,3,1,0,1,207,1,0,1,1,0,0,0,1,1,1,0,0,4,4,4,4,4,2,1,4,4,4,3,4,3,3,4,4,4,4,0,3,4,0,4,4,4,4,2,4,3,2,3,1
0,1,1,2,3,0,1,1,105,1,1,0,1,0,0,1,0,0,1,0,0,3,3,4,3,2,3,3,4,4,3,4,2,1,4,3,1,1,1,1,3,1,3,1,1,2,3,4,2,2,1,3,0
0,0,1,2,2,1,0,0,43,0,0,0,0,0,0,0,1,1,1,0,1,3,4,4,4,2,3,4,3,3,3,3,1,1,0,2,3,3,1,0,3,2,3,2,4,4,4,1,1,3,3,3,0
